,loss,base_loss,val_loss,val_base_loss,TrainType
438,0.015924464911222458,0.015924464911222458,3.271085023880005,3.271085023880005,Vanilla
439,1.4085111618041992,1.4085111618041992,,,Adversarial
440,0.07949957251548767,0.07949957251548767,2.1519250869750977,2.1519250869750977,Vanilla
441,0.010082590393722057,0.010082590393722057,2.390798568725586,2.390798568725586,Vanilla
442,0.013073711656033993,0.013073711656033993,2.67541241645813,2.67541241645813,Vanilla
443,0.015205402858555317,0.015205402858555317,2.7261857986450195,2.7261857986450195,Vanilla
444,0.015537227503955364,0.015537227503955364,2.8182802200317383,2.8182802200317383,Vanilla
445,0.01821262575685978,0.01821262575685978,2.893939971923828,2.893939971923828,Vanilla
446,0.01542250718921423,0.01542250718921423,3.0937302112579346,3.0937302112579346,Vanilla
447,0.016764145344495773,0.016764145344495773,2.979248046875,2.979248046875,Vanilla
448,0.015589648857712746,0.015589648857712746,3.1051015853881836,3.1051015853881836,Vanilla
449,0.014800447970628738,0.014800447970628738,3.2112183570861816,3.2112183570861816,Vanilla
450,1.3940987586975098,1.3940987586975098,,,Adversarial
451,0.07839018851518631,0.07839018851518631,2.111084461212158,2.111084461212158,Vanilla
452,0.01266441959887743,0.01266441959887743,2.4177942276000977,2.4177942276000977,Vanilla
453,0.012804404832422733,0.012804404832422733,2.6855969429016113,2.6855969429016113,Vanilla
454,0.017350157722830772,0.017350157722830772,2.7387356758117676,2.7387356758117676,Vanilla
455,0.015160547569394112,0.015160547569394112,2.7846500873565674,2.7846500873565674,Vanilla
456,0.016039036214351654,0.016039036214351654,3.001725912094116,3.001725912094116,Vanilla
457,0.01531283650547266,0.01531283650547266,3.0495712757110596,3.0495712757110596,Vanilla
458,0.014899692498147488,0.014899692498147488,3.025583028793335,3.025583028793335,Vanilla
459,0.01781284064054489,0.01781284064054489,3.2222752571105957,3.2222752571105957,Vanilla
460,0.015401512384414673,0.015401512384414673,3.0923445224761963,3.0923445224761963,Vanilla
461,1.3800934553146362,1.3800934553146362,,,Adversarial
462,0.07362905144691467,0.07362905144691467,2.340498208999634,2.340498208999634,Vanilla
463,0.011410142295062542,0.011410142295062542,2.6556801795959473,2.6556801795959473,Vanilla
464,0.016671594232320786,0.016671594232320786,2.6461758613586426,2.6461758613586426,Vanilla
465,0.013898085802793503,0.013898085802793503,2.793210029602051,2.793210029602051,Vanilla
466,0.01679200679063797,0.01679200679063797,3.0201988220214844,3.0201988220214844,Vanilla
467,0.013785340823233128,0.013785340823233128,2.9762845039367676,2.9762845039367676,Vanilla
468,0.014941135421395302,0.014941135421395302,3.099187135696411,3.099187135696411,Vanilla
469,0.01756104826927185,0.01756104826927185,3.1144957542419434,3.1144957542419434,Vanilla
470,0.0164941493421793,0.0164941493421793,3.1470730304718018,3.1470730304718018,Vanilla
471,0.01717197336256504,0.01717197336256504,3.121657609939575,3.121657609939575,Vanilla
472,1.3791425228118896,1.3791425228118896,,,Adversarial
473,0.0857035219669342,0.0857035219669342,2.263324737548828,2.263324737548828,Vanilla
474,0.011607867665588856,0.011607867665588856,2.4163222312927246,2.4163222312927246,Vanilla
475,0.012928255833685398,0.012928255833685398,2.460963487625122,2.460963487625122,Vanilla
476,0.014507862739264965,0.014507862739264965,2.8089866638183594,2.8089866638183594,Vanilla
477,0.017279742285609245,0.017279742285609245,2.990506887435913,2.990506887435913,Vanilla
478,0.012423668056726456,0.012423668056726456,3.206724166870117,3.206724166870117,Vanilla
479,0.013652835972607136,0.013652835972607136,3.130955934524536,3.130955934524536,Vanilla
480,0.016569698229432106,0.016569698229432106,3.220336437225342,3.220336437225342,Vanilla
481,0.016365787014365196,0.016365787014365196,3.172314405441284,3.172314405441284,Vanilla
482,0.014282628893852234,0.014282628893852234,3.2045340538024902,3.2045340538024902,Vanilla
483,1.3873543739318848,1.3873543739318848,,,Adversarial
484,0.08348055928945541,0.08348055928945541,2.1979589462280273,2.1979589462280273,Vanilla
485,0.010474378243088722,0.010474378243088722,2.5676581859588623,2.5676581859588623,Vanilla
486,0.01265753898769617,0.01265753898769617,2.736483097076416,2.736483097076416,Vanilla
487,0.015394800342619419,0.015394800342619419,2.799098491668701,2.799098491668701,Vanilla
488,0.017191080376505852,0.017191080376505852,2.825338840484619,2.825338840484619,Vanilla
489,0.015754099935293198,0.015754099935293198,2.8941807746887207,2.8941807746887207,Vanilla
490,0.013430487364530563,0.013430487364530563,3.1207284927368164,3.1207284927368164,Vanilla
491,0.014960633590817451,0.014960633590817451,2.998656988143921,2.998656988143921,Vanilla
492,0.016142310574650764,0.016142310574650764,3.13315749168396,3.13315749168396,Vanilla
493,0.016055183485150337,0.016055183485150337,3.1829512119293213,3.1829512119293213,Vanilla
